Wall time,Step,Value
1729047237.3677542,387,382.0
1729047253.4795508,388,655.0
1729047402.5039585,389,264.0
1729047434.3335004,391,464.0
1729047435.754328,392,34.0
1729047583.425484,393,446.0
1729047603.3751483,394,782.0
1729047685.9600081,396,408.0
1729047839.821702,397,955.0
1729047868.3497756,398,401.0
1729047922.0297685,399,2179.0
1729047965.1221423,400,1733.0
1729048143.3548498,402,433.0
1729048182.6258485,403,1575.0
1729048210.1172419,404,254.0
1729048384.6769392,406,563.0
1729048399.06674,407,552.0
1729048593.5503523,409,973.0
1729048646.2242186,411,1192.0
1729048682.1414115,412,997.0
1729048837.4162595,413,357.0
1729048877.2491977,415,895.0
1729048883.1923134,416,215.0
1729049057.8640354,417,1074.0
1729049086.9461489,419,488.0
1729049117.0925777,420,1229.0
1729049274.2271974,421,409.0
1729049292.3872404,422,621.0
1729049305.2421684,423,509.0
1729049321.1735194,424,668.0
1729049457.6929634,425,188.0
1729049495.2204888,427,148.0
1729049647.8734481,429,533.0
1729049681.9264052,431,787.0
1729049820.4227936,433,530.0
1729049882.612914,436,389.0
1729050007.541577,437,314.0
1729050042.6832774,439,795.0
1729050055.671475,440,517.0
1729050190.0090227,441,478.0
1729050204.3735697,442,543.0
1729050219.3817785,443,624.0
1729050399.5551379,445,430.0
1729050428.1730797,446,1173.0
1729050441.767399,447,546.0
1729050464.8220305,448,577.0
1729050610.2952063,449,666.0
1729050643.4543197,450,1333.0
1729050669.741117,451,1051.0
1729050672.2403257,452,85.0
1729050823.1030054,453,532.0
1729050836.1468165,454,492.0
1729050844.9172878,455,356.0
1729050863.3426547,456,753.0
1729051001.3131182,458,445.0
1729051017.289387,459,630.0
1729051060.398492,460,1720.0
1729051192.8997085,461,188.0
1729051219.8159833,462,700.0
1729051236.608985,463,516.0
1729051249.1578548,464,504.0
1729051360.6049516,465,222.0
1729051388.8705957,466,1136.0
1729051414.5928931,467,1042.0
1729051428.0815668,468,529.0
1729051542.9555907,469,451.0
1729051563.1560605,470,810.0
1729051615.917686,471,2110.0
1729051633.8952925,472,698.0
1729051762.1721475,473,326.0
1729051775.4712198,474,500.0
1729051806.1165514,475,190.0
1729051819.71708,476,524.0
1729051956.383408,478,274.0
1729051989.8037033,479,1343.0
1729052171.6173396,482,945.0
1729052221.664843,483,1870.0
1729052268.593041,484,1628.0
1729052454.0157964,485,1546.0
1729052472.8970633,486,644.0
1729052493.7904158,487,791.0
1729052512.3946085,488,671.0
1729052692.3949776,489,98.0
1729052714.125439,490,836.0
